State,District,Arrival_Date,Sold_Amount/tonns
MP,Satna,May,5.77
MP,Sehore,May,8694
MP,Seoni,May,6.7
MP,Shajapur,May,5277.43
MP,Shehdol,May,106.99
MP,Sheopur,May,13.1
MP,Shivpuri,May,613.85
MP,Tikamgarh,May,353.97
MP,Ujjain,May,23824.44
MP,Vidisha,May,1058.1
MP,Alirajpur,Jun,1396.78
MP,Ashoknagar,Jun,4501.5
MP,Badwani,Jun,103
MP,Betul,Jun,6881.6
MP,Bhopal,Jun,1502.6
MP,Burhanpur,Jun,129.1
MP,Chhatarpur,Jun,643.57
MP,Chhindwara,Jun,261.1
MP,Damoh,Jun,1096
MP,Dewas,Jun,13073.61
MP,Dhar,Jun,14144.49
MP,Dindori,Jun,125.73
MP,Guna,Jun,2983.19
MP,Gwalior,Jun,0.5
MP,Harda,Jun,2403.3
MP,Hoshangabad,Jun,579.3
MP,Indore,Jun,9600.2
MP,Jhabua,Jun,1499
MP,Khandwa,Jun,2808.9
MP,Khargone,Jun,537.23
MP,Mandsaur,Jun,12587.02
MP,Narsinghpur,Jun,154.2
MP,Neemuch,Jun,29649.7
MP,Raisen,Jun,458
MP,Rajgarh,Jun,8406.67
MP,Ratlam,Jun,12679.14
MP,Rewa,Jun,233.4
MP,Sagar,Jun,4226.42
MP,Satna,Jun,96.78
MP,Sehore,Jun,11829.7
MP,Seoni,Jun,16.94
MP,Shajapur,Jun,8195.77
MP,Shehdol,Jun,23.47
MP,Sheopur,Jun,14.3
MP,Shivpuri,Jun,1448.9
MP,Tikamgarh,Jun,83.98
MP,Ujjain,Jun,31649.69
MP,Vidisha,Jun,4908
MP,Alirajpur,Jul,1529.62
MP,Ashoknagar,Jul,5166.3
MP,Badwani,Jul,171.3
MP,Betul,Jul,8174
MP,Bhopal,Jul,3821.3
MP,Burhanpur,Jul,172.9
MP,Chhatarpur,Jul,814.18
MP,Chhindwara,Jul,170
MP,Damoh,Jul,3136
MP,Dewas,Jul,18484.41
MP,Dhar,Jul,19223.17
MP,Dindori,Jul,227.01
MP,Guna,Jul,4273.64
MP,Gwalior,Jul,7.8
MP,Harda,Jul,4137.1
MP,Hoshangabad,Jul,1509.1
MP,Indore,Jul,17319.7
MP,Jabalpur,Jul,5.3
MP,Jhabua,Jul,2360.86
MP,Khandwa,Jul,2397.2
MP,Khargone,Jul,568.69
MP,Mandsaur,Jul,34985.59
MP,Narsinghpur,Jul,804.1
MP,Neemuch,Jul,27313.8
MP,Panna,Jul,16.9
MP,Raisen,Jul,2144
MP,Rajgarh,Jul,15790.8
MP,Ratlam,Jul,15621.75
MP,Rewa,Jul,295.74
MP,Sagar,Jul,13289.2
MP,Satna,Jul,947.9
MP,Sehore,Jul,18170.02
MP,Seoni,Jul,38.35
MP,Shajapur,Jul,11750.75
MP,Shehdol,Jul,79.91
MP,Sheopur,Jul,32.2
MP,Shivpuri,Jul,1330.7
MP,Tikamgarh,Jul,393.03
MP,Ujjain,Jul,29055.85
MP,Vidisha,Jul,7955.54
MP,Alirajpur,Aug,1024.25
MP,Ashoknagar,Aug,2562
MP,Badwani,Aug,92.6
MP,Betul,Aug,4432
MP,Bhopal,Aug,1204.1
MP,Burhanpur,Aug,68.7
MP,Chhatarpur,Aug,3359.29
MP,Chhindwara,Aug,272.4
MP,Damoh,Aug,2536.5
MP,Dewas,Aug,8716.6
MP,Dhar,Aug,12129.63
MP,Dindori,Aug,221.7
MP,Guna,Aug,1224.49
MP,Gwalior,Aug,3.8
MP,Harda,Aug,1586.5
MP,Hoshangabad,Aug,842.5
MP,Indore,Aug,8196.6
MP,Jabalpur,Aug,17.8
MP,Jhabua,Aug,1668.35
MP,Katni,Aug,0.8
MP,Khandwa,Aug,2512.3
MP,Khargone,Aug,451.75
MP,Mandsaur,Aug,5320.54
MP,Morena,Aug,16.7
MP,Narsinghpur,Aug,414.7
MP,Neemuch,Aug,11954.3
MP,Raisen,Aug,1738.1
MP,Rajgarh,Aug,6211.51
MP,Ratlam,Aug,9264.82
MP,Rewa,Aug,11.4
MP,Sagar,Aug,14730.1
MP,Satna,Aug,237.2
MP,Sehore,Aug,9082.01
MP,Seoni,Aug,30.59
MP,Shajapur,Aug,4244.12
MP,Shehdol,Aug,71.85
MP,Sheopur,Aug,57.7
MP,Shivpuri,Aug,815
MP,Tikamgarh,Aug,563.61
MP,Ujjain,Aug,9048.39
MP,Vidisha,Aug,3122.5
MP,Alirajpur,Sep,857.2
MP,Anupur,Sep,48.2
MP,Ashoknagar,Sep,469.2
MP,Badwani,Sep,118.85
MP,Betul,Sep,6252.7
MP,Bhopal,Sep,1400.2
MP,Burhanpur,Sep,126.9
MP,Chhatarpur,Sep,1716.6
MP,Chhindwara,Sep,189.3
MP,Damoh,Sep,1307.9
MP,Dewas,Sep,8651.41
MP,Dhar,Sep,14063.49
MP,Dindori,Sep,292.17
MP,Guna,Sep,411.13
MP,Harda,Sep,1046.2
MP,Hoshangabad,Sep,829.3
MP,Indore,Sep,11508.4
MP,Jabalpur,Sep,21.4
MP,Jhabua,Sep,2522.92
MP,Khandwa,Sep,1989.2
MP,Khargone,Sep,363.33
MP,Mandsaur,Sep,5062.39
MP,Morena,Sep,36.3
MP,Narsinghpur,Sep,267.3
MP,Neemuch,Sep,7194.5
MP,Raisen,Sep,1245
MP,Rajgarh,Sep,3153.95
MP,Ratlam,Sep,9090.04
MP,Rewa,Sep,13.25
MP,Sagar,Sep,7427.8
MP,Satna,Sep,124.06
MP,Sehore,Sep,6997.5
MP,Seoni,Sep,49.62
MP,Shajapur,Sep,2649.94
MP,Shehdol,Sep,27.7
MP,Sheopur,Sep,103.1
MP,Shivpuri,Sep,695.08
MP,Tikamgarh,Sep,228.1
MP,Ujjain,Sep,9896.96
MP,Vidisha,Sep,1654.8
MP,Alirajpur,Oct,805.5
MP,Ashoknagar,Oct,27809.4
MP,Badwani,Oct,94.38
MP,Betul,Oct,244.5
MP,Bhopal,Oct,12566.3
MP,Burhanpur,Oct,782.8
MP,Chhatarpur,Oct,687.83
MP,Chhindwara,Oct,108.2
MP,Damoh,Oct,10143
MP,Dewas,Oct,46300.22
MP,Dhar,Oct,23857.28
MP,Dindori,Oct,51.99
MP,Guna,Oct,40492.33
MP,Gwalior,Oct,115
MP,Harda,Oct,24599.2
MP,Hoshangabad,Oct,5237.5
MP,Indore,Oct,33499.8
MP,Jabalpur,Oct,18.35
MP,Jhabua,Oct,10025.29
MP,Katni,Oct,0.2
MP,Khandwa,Oct,20067.57
MP,Khargone,Oct,6661.81
MP,Mandsaur,Oct,9473.66
MP,Morena,Oct,11
MP,Narsinghpur,Oct,1086.7
MP,Neemuch,Oct,21161.2
MP,Panna,Oct,156.6
MP,Raisen,Oct,5789.2
MP,Rajgarh,Oct,47097.45
MP,Ratlam,Oct,25922.41
MP,Sagar,Oct,32477.5
MP,Satna,Oct,1710.21
MP,Sehore,Oct,36707.32
MP,Seoni,Oct,8.8
MP,Shajapur,Oct,32380.47
MP,Sheopur,Oct,2602.7
MP,Shivpuri,Oct,24136.5
MP,Tikamgarh,Oct,1082.74
MP,Ujjain,Oct,75782.86
MP,Vidisha,Oct,31189.1
MP,Alirajpur,Nov,1718.4
MP,Ashoknagar,Nov,44395
MP,Badwani,Nov,551.44
MP,Betul,Nov,3623.2
MP,Bhopal,Nov,20347.7
MP,Burhanpur,Nov,2412
MP,Chhatarpur,Nov,1102.6
MP,Chhindwara,Nov,190.8
MP,Damoh,Nov,13749
MP,Dewas,Nov,61801.52
MP,Dhar,Nov,39825.91
MP,Dindori,Nov,572.4
MP,Guna,Nov,48177.56
MP,Gwalior,Nov,147.8
MP,Harda,Nov,36801.7
MP,Hoshangabad,Nov,13131.2
MP,Indore,Nov,36518
MP,Jabalpur,Nov,41.5
MP,Jhabua,Nov,24651.04
MP,Katni,Nov,15.3
MP,Khandwa,Nov,13649.2
MP,Khargone,Nov,10799.32
MP,Mandla,Nov,1.1
MP,Mandsaur,Nov,16510.04
MP,Morena,Nov,46.2
MP,Narsinghpur,Nov,4167.18
MP,Neemuch,Nov,33575.6
MP,Panna,Nov,124.2
MP,Raisen,Nov,7217.5
MP,Rajgarh,Nov,56513.31
MP,Ratlam,Nov,52218.49
MP,Rewa,Nov,5.7
MP,Sagar,Nov,45190.8
MP,Satna,Nov,2708.95
MP,Sehore,Nov,55850.27
MP,Shajapur,Nov,43523.07
MP,Shehdol,Nov,292
MP,Sheopur,Nov,2305.2
,Shivpuri,Nov,37217.01
,Tikamgarh,Nov,1715.53
,Ujjain,Nov,98430.3
,Umariya,Nov,267.16
,Vidisha,Nov,46863.2
